AL1,587035.796364
AL10,356429.896296
AL2,491614.76
AL3,564789.604278
AL4,571469.69697
AL5,850726.401961
AL6,667624.852941
AL7,360458.391304
AL8,426044.602273
AL9,653268.571429
B1,236354.398374
B10,114697.777778
B11,198437.361702
B12,173195.754386
B13,257535.427027
B14,194849.436508
B15,364341.747826
B16,186419.266667
B17,337854.99375
B18,203409.641304
B19,457086.486486
B2,666686.181818
B20,210298.153153
B21,121969.879518
B23,141617.555085
B24,366137.691824
B25,141558.823529
B26,161912.175676
B27,172945.083333
B28,218692.017341
B29,240511.235
B3,1237362.22581
B30,213433.533654
B31,171052.891641
B32,181744.896396
B33,146715.666667
B34,142161.327434
B35,125570.454545
B36,174220.097143
B37,352358.039216
B38,196181.295082
B4,19870187.6667
B42,199271.145833
B43,177583.652174
B44,130931.064516
B45,239019.813253
B46,218672.282609
B47,291389.655172
B48,305737.657895
B49,387586.012658
B5,206346.607595
B50,390050.681818
B6,126851.176471
B60,292228.59116
B61,251812.705556
B62,216153.327869
B63,167930.964646
B64,143940.588235
B65,168400.852941
B66,198859.464286
B67,146064.46875
B68,149939.182927
B69,175841.366667
B7,282400.0
B70,186157.731481
B71,128432.044776
B72,343320.660377
B73,290050.32716
B74,487149.951327
B75,281633.385093
B76,243750.717391
B77,191323.650568
B78,208663.362069
B79,230614.119718
B8,121407.219355
B80,265210.795455
B9,145258.62963
B90,278278.909091
B91,423196.004219
B92,267441.745583
B93,574120.340741
B94,554788.773585
B95,533613.16
B96,395846.590909
B97,232471.586614
B98,289817.792115
BA1,531169.006873
BA10,381750.0
BA11,295595.889831
BA12,394511.377143
BA13,221112.377358
BA14,241032.473404
BA15,357123.5
BA16,230365.2
BA2,442666.177489
BA20,207387.096774
BA21,194503.076305
BA22,283389.547368
BA3,259425.600962
BA4,274576.178571
BA5,392837.306358
BA6,299038.927273
BA7,380042.857143
BA8,219630.0
BA9,273724.538462
BB1,243736.962963
BB10,324276.768966
BB11,123134.488764
BB12,215197.600707
BB18,130953.04065
BB2,245998.033003
BB3,113231.447368
BB4,264841.786145
BB5,136582.913636
BB6,159796.262136
BB7,242220.846154
BB8,121158.206452
BB9,101879.369637
BD1,194212.439024
BD10,165052.861272
BD11,184565.163043
BD12,131609.897196
BD13,143447.85641
BD14,138194.509804
BD15,146780.537634
BD16,223445.889362
BD17,200526.585034
BD18,162409.552326
BD19,171190.789157
BD2,112422.650273
BD20,200242.080495
BD21,106799.748299
BD22,160310.340611
BD23,265833.115385
BD24,240938.0
BD3,86007.2048193
BD4,94239.2215569
BD5,100931.376238
BD6,113884.871921
BD7,99069.3653846
BD8,104524.065217
BD9,124288.75
BD99,8300000.0
BH1,297942.537313
BH10,268577.201493
BH11,252453.626263
BH12,275237.067729
BH13,618584.916168
BH14,420074.008696
BH15,311783.97151
BH16,292449.5
BH17,273945.485714
BH18,405769.105263
BH19,310553.648649
BH2,239636.534591
BH20,365069.84127
BH21,455431.591912
BH22,341540.204724
BH23,462179.188312
BH24,460446.089385
BH25,344579.047847
BH3,410026.923077
BH31,339364.049587
BH4,279233.186441
BH5,242596.537931
BH6,336081.412017
BH7,318254.186047
BH8,282165.85514
BH9,278926.610329
BL0,186035.742188
BL1,194713.891393
BL2,191939.805785
BL3,116566.983553
BL4,119244.147368
BL5,185084.362245
BL6,188090.14346
BL7,232762.627119
BL8,183454.872428
BL9,159138.97482
BN1,487690.137288
BN10,286273.205128
BN11,262519.609551
BN12,350974.166667
BN13,307806.471111
BN14,325583.817427
BN15,284413.284211
BN16,359840.062992
BN17,240642.809917
BN18,390380.27381
BN2,369774.510744
BN20,336597.279412
BN21,240496.445652
BN22,245343.174468
BN23,323470.820833
BN24,291325.070423
BN25,315866.994444
BN26,282191.614583
BN27,279489.384977
BN3,446274.176183
BN41,327160.698413
BN42,334256.521739
BN43,368028.52459
BN44,515907.653061
BN45,621000.0
BN5,490547.878049
BN6,573211.317829
BN7,546902.862385
BN8,451896.25
BN9,253820.515464
BR1,556243.188202
BR2,515534.50173
BR3,591678.668831
BR4,536870.775281
BR5,380530.361538
BR6,502893.47079
BR7,635531.068376
BR8,358234.448
BS1,672335.147368
BS10,277665.03268
BS11,262609.9
BS13,239916.14966
BS14,242321.19898
BS15,231215.979592
BS16,293087.79529
BS2,359644.758389
BS20,336133.956938
BS21,333602.111111
BS22,208425.283019
BS23,230208.498382
BS24,223186.360825
BS25,368871.875
BS26,317239.130435
BS27,286819.5
BS28,515523.809524
BS29,276353.571429
BS3,306792.803333
BS30,276762.050562
BS31,337241.178161
BS32,421239.725275
BS34,508206.0
BS35,316435.306452
BS36,326941.506329
BS37,262026.238255
BS39,343411.891892
BS4,377599.358333
BS40,451507.796875
BS41,496542.857143
BS48,346162.824427
BS49,286319.166667
BS5,217582.381517
BS6,453647.40099
BS7,333188.496032
BS8,657022.604061
BS9,458732.690821
CA1,127252.563636
CA10,234474.835052
CA11,229094.92268
CA12,339843.324675
CA13,207500.521739
CA14,140672.168103
CA15,138270.932692
CA16,231411.71875
CA17,225733.333333
CA18,158506.0
CA19,173250.0
CA2,138594.65704
CA20,194310.555556
CA21,252000.0
CA22,165551.0
CA23,79000.0
CA24,49123.75
CA25,98604.1666667
CA26,115005.791667
CA27,181625.0
CA28,137481.881443
CA3,172874.716418
CA4,241303.586207
CA5,258768.478261
CA6,189820.689655
CA7,169329.878788
CA8,195620.338983
CA9,139927.5
CB1,513513.942598
CB10,1561865.07229
CB11,424993.655172
CB2,632232.158621
CB21,445047.209302
CB22,539801.540107
CB23,534362.879464
